sentiment,content
worry,shinyflash my plans might have just gone out the window too  bit gutted.
sadness,mistermagnus A friend uses Logic and I must admit I did like it...but I don't have a Mac
happiness,caldjr yeh me 2
worry,can't go to sleeeeeep  whyyyyy
neutral,hannahdevonne Follow both because I don't know which one will send it. PS Dont get your hopes up because she may not sen it
love,mizplunderbunny *hugs* why?
sadness,It's too hot to be sat in an office!  I wanna be out in the sun shineeeee.
neutral,adsense exchange rate 1 : 47.060 ($ : INR )
enthusiasm,I'm missing crab legs and attending my going away instead!
worry,Maybe I'm lacking in Friday feeling cos more of my trousers won't go on  Thunder thighs!
worry,I have a broken wrist
neutral,Ekstatikladii sorry love had no left overs  but come through sat  mi casa for ton's birthday! we'll have tons of food
neutral,starts tomorrow and I start to study again
happiness,"Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN"
worry,the collegedems 2009 convention ( http://tr.im/mLvw ) doesn't look that great this year  - going to vegas then sounds much more fun
worry,HellenBach then he has gone down in my estimation
neutral,Jewel_Lia Should have grabbed some on the way to work
worry,I'm awake and can't sleep bc I'm feeling sick  yuck!!!
worry,allergymeds im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!
surprise,oOogabriela wat u doin my bad im mixin this song
worry,arielleGore phaket.  what did anneliese want to do?
empty,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd
love,"sarahkate1 sleepover's the shit! I love those guy, I totally forgot they played tonight"
worry,Bought new racquet for $145... wish this racquet will do the  half and God the rest .well despite recession things are fkin costly
fun,Why can't I see WHITE SOX players  random bars I go to.. NOT Cubs players  waaah
sadness,BlueEyed_Cat himynameisrose we all know and yes dont remind me im so effin jealous  fuck aust some times
worry,wizofozgurl I think I'm going to be the only lame person to cry for Jay's last episode...lol... I wish I were able to go
worry,I lost followers  Was it something I said?  I swear I am not into freeballing.  Ugg that is the last time I mention that thing.
hate,I feel so useless
sadness,Is now crying  Omg I am fed up with this pain !!!
hate,awhile ago it freaking hot! now it's wet  turn off!
neutral,"hmm buysellads is following me and to think, they declined thehodge.co.uk for inclusion into there network"
surprise,"atlprincess 'erocka the ruler' i called you, but i see i gets the no love   whats up with that?"
sadness,I'm up way to early today!  Work later.
worry,Wow.....I've been stood up  Might as well go to work.
sadness,im really tired.. not much time to sleep
worry,peacelovetylr Help i need the stalker police can you give me their number
neutral,raerobinson it was just the handle tg
surprise,ncremins Wednesday? you are joking me? that soon???  when's the partaaaaaaay?
sadness,"codemonkeyism there were attempts to somehow extend inner classes, which would be close to #closure, can't find the ref ATM"
neutral,im going to miss khyy so much
worry,amandapalmer was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream
sadness,sad day!!!!! Love you Maï¿½ (8 years ago!)
neutral,joyeuxmort Miss you too  tomorrow is friday...the day we usually just lounged around trying to figure out what to do
neutral,bareknuckleyell not the best way to start your day
fun,"All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!"
worry,"nikhilbelsare exactly the same problem i am having with pure classical music, i cant njoy it"
sadness,Is going to get a full nights sleep tonight so her arm can get better. It's no fun being forced to use your left hand
worry,is scanning the pics all over again ..
neutral,"I should learn not to walk all day, and then sprint through sprinklers without stretching."
neutral,i want Van Basten to b the milan manager !!!
sadness,jennytalia SHUT YOUR FACE! Why are you so mean to me? Pedro is supposed to be the mean one
sadness,... and itï¿½s FFA *evil grin* but Iï¿½m so busy at work today I wonï¿½t get anything done
neutral,i dont have my iphone until maybe next week!
neutral,"jus woke up, late  runnin to work have students to train!"
worry,"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!"
neutral,l need some more aussies !
hate,x_Beckiie_x omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed
worry,is there a way to &quot
hate,Aaaaaaaa!! I hate fucking winshit!!
worry,That room will be an oven too
hate,"Think it may be time for a  lemsip soon, having a cold really sucks"
worry,i have to go to the doctor... i don't want to... cause there i can wait sooo long...
sadness,"Fell down the stairs at dancing, sword fell on me and now my bum hurts"
neutral,in a meeting discussion colour of bikeshed
worry,LycoLoco i'm not proud. but os x excels at video/photo editing where the pc lags so much behind.
neutral,emily is over tonight XD work experience is over. Jen I'm  going to miss seeing you like everyday
worry,Its 1:11am and both my girls are still up! .. im so tired ..
worry,Internet is getting damn slow today..
love,SAD day! love you Maï¿½ (8 years ago!) miss you so much!!!!
sadness,"wethedan nope, would be no music"
surprise,MAVinBKK it feels like ages away! More than 5 months
neutral,why do i turn red
empty,"steve_caruso So I took the polish off of the nail of the finger the door handle murdered earlier, and well... it's not pretty...."
sadness,JustDarline DArLiNE!!* miss you
worry,Just missed my train
worry,"iprmktg Haaay are those the Kettle black joints???  I have them in black!!! Super dope, just wished they came in gold!!!"
worry,"driving around for 3 hours going nowhere is not as fun as it seems, i missed my singing lesson"
worry,You all have no Idea how badly I wish that I was at botcon.  Oh well! NEXT YEAR!
worry,illestnana me and my friend over here are disappointed we cant make it
sadness,Why didn't I book today off as well could not be bothered with work the weather is too good to be in here
hate,alexlomas Bastard! I want to be at the beach in the sun
worry,"MadamSalami i had to get the same sized jeans, i couldnt get my hips into the 14's"
worry,cant believe i stay out this late!.....waking up for work in T-minus 4hours
fun,QueenKelso dooood! it is working! tea time later? are you working tonight?
worry,CNReilly I missed Match Game tonight    I hope I make it tomorrow night.
enthusiasm,UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.
sadness,ncremins thats not really fair. I mean you just up and leave like that and you dont even give us a party  So when you coming back or  ...
happiness,I hereby proclaim it to officially be summer as it is AWESOME today! But I'm stuck inside a chilly office
hate,I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it
neutral,Quietjack I'm probably going to be doing the same thing
hate,"ShiGGaShay - I only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min."
neutral,Lucalexa thanks  scared of dentists.. looks like I am going to have to get over it and go
worry,jackfaulkner I forgot all of those people
surprise,sleeping... would've been home sooner but we accidentally killed bambi on the way home
happiness,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.
surprise,Woke up and there was sun! And then it started to rain
worry,cant take photos of Darling Harbour fireworks cause its raining  carried all my camera gear to work for nothing #fb
worry,"just woke up, and my tummy hurts  there's always something wrong with me :S"
love,MrsSOsbourne Hi Sharon Missed you on our x factor last year!!  Come Back!! x
neutral,3-4 hours sleep last night  barely functioning
worry,Seems like 60 min wait time  should I call the wife now
sadness,tahninial just called me a cheeseburglar. He made me sad
worry,Not happy got a big choice to make
sadness,Getting bored sitting at the hotel room the entire day
neutral,It's natsmith88 last Friday today
surprise,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ..."
hate,Sarahies I will be ok when I have been to the drs again today and got my essay done  x howre you?? x
neutral,Hmm... I should go make a time machine to go forward to 12:00 God im genius.. Oh yeh i dont no how too...  x
neutral,I don't think the Master Cleanse was intended for travelers  feeling gross....
neutral,daniellemhicks lol what!! where is it!
worry,Anne_A4L Hey Anne! I stayed up 2 try 2 arrange 4 some NYC Archies 2 get tix 2 the concert. Logged off  2.30 but only fell asleep  5am
happiness,Bumping Air Supply's Greastest Hits
neutral,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place"
worry,christineduggan we keep getting pet days  but i heard the weekend is to be fab !!! wedding how soon again ?
sadness,can't believe I'm peeling from one and a half days of sunshine
worry,I don't know what this is all about  but I'm goin to sleep
surprise,"k_tron oh god, whose tire?"
worry,"SamerKaram but better hurry, so you wouldn't be labeled as copycats"
neutral,It's natsmith88 last Friday today
happiness,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now
relief,is gutted to be at work when it is sooo nice outside
happiness,is going back home  love ya Zagrebe &lt
hate,Geography papers are so boring!  I hate revision!
neutral,Came out of my house this morning to the stink of cat poo. I have cats doing their business in my little bit of garden.
neutral,bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay  x
worry,[BBC] Malaria parasites becoming resistant to drugs  http://trunc.it/9yn5 ~ this is really not good as Malaria affects so many people
worry,Morning all. I appear to have a bit of a sore head. Perhaps the bag of pork scratchings for dinner wasn't such a good idea
surprise,has just booked her appointment to give blood 18:20pm 2nd June! Scared
hate,"urgh, my head is banging."
neutral,Donnette i am fine. just having a headache for days now
worry,professorgreen &amp
empty,Awake at 4am..  can't sleep
worry,Cleric20 Nope. Im hearing bad things.
worry,My attempts at writing tonight seem to be failing.
neutral,Got a day of painting
hate,robinlefeber Ojee! That sucks...
neutral,Flypside - When it was good..i must creat my presentation in english  by guys ?
happiness,staring at the sunshine through my office window!
sadness,I wish I had a concept of what time it is right now....  not adjusting well. Obvs.
worry,"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk DavidArchie away from the PC.."
surprise,"getting dressed to go to Granny's,another day of now twitting"
sadness,Feeling pretty poo today
neutral,I need to buy a Tablet
worry,ugh. I totally can't sleep.
sadness,I wanna go to the beach...but I have to study
sadness,What's worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.
sadness,On a brighter note.. still at work at 6:15 on Friday working on other peoples problems...  oh man. I'm SO eating pizza tonight. hoorah!
worry,kpatthethird D
empty,My cucumber has gone limp
fun,"shanzer22  you're missing out, bb! i'm such a cereal nut, i think i like every kind available."
worry,gulpanag unfortunately I choose sleep over gym almost everyday  trying to get over it!
surprise,just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling
fun,Banette_ good to be back! It's really late though and I just got back from scaring some people and I'm pleased but really tired
neutral,Got about 2 hours sleep.
hate,Oh fml its probs gunna be at shepards bush  i hate it there
worry,Danisidhe Wow - that's one deep sleep!  Wish I could sleep like that -one little noise and I'm awake
worry,cutiemoet i noe... bt i jus cant help it.....
worry,TwoOnTheBeat i wud do but im at work   srry xx
surprise,geez why do u have to be SO obvious?
surprise,i messed up my back/hip. it hurts so bad
neutral,wonders when all of these end... hay...  http://plurk.com/p/wy9wi
surprise,jolynnchew so early??
worry,kelleyrowe my internet just crashed  i will ttytomorrow.
hate,Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now
sadness,"Had a crazy night, lost keys, walked home, missed my papi's calls from the swizzy.    I'm sad"
surprise,vmysterrr are you serious!? that bloooooows
happiness,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D"
worry,primesuspect  If only my writing wasn't so scrub.
worry,gotta get up in a few hours...booo  gooodnight!
surprise,Going to bed...going back to Korea tomorrow
sadness,missed the #jonaswebcast
enthusiasm,I WANT LASAGNA TOOOOOOO.
neutral,julie_posetti Nice reference to #LM program in How Journalists Are Using Twitter in Australia but no mention of me   http://bit.ly/JwuZL
sadness,"At millys having some yummy asian food! Haha. And listening to let go, such a sad song"
hate,My record player has decided to die. Why on Friday night? Sad E  http://twitpic.com/667a4
neutral,just wants to get it over and done with. I miss working
sadness,my blog is crashing my browser
sadness,My mind is playing tricks or me!...or could it be? Either way this ish is on my mind heavy and in sleepy
worry,I miss my peanut gallery
sadness,LaylaNatalie nowhere babe  ice come to do a few jobs here this morning *sigh*
love,aww iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol
worry,djain1989 yes .. thats a problem   #prism #fail
sadness,terryronald When does it close? I didn't think it'd been running that long? I still haven't had chance to see it!
hate,I can't sleep ugh!! and I have shit to do all damn day tomorrow. Wanting to take a sleeping pill but I know Ill get up late
worry,dc493 sassafrass reminds me of rachel  i miss her
worry,mhall214  youre not supposed to...
worry,"AlexMaza thanks for the follow! Isafailure was supposed 2 b a team thing, but my friend hasn't emailed me or communicated n 4ever"
sadness,"ladybug8320 oh yes i sure will, but sad cause i will miss the view at the house am leaving actually"
neutral,dreaming_aloud DanBarnes501 and that hindi flick '99' that came out a couple of weeks ago that never made it to the UK
sadness,"#liesboystell Your the only one, I love (they really have several women)"
worry,dean_b BF  gig in Portland OR.  That's not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B
neutral,"awww, watching 18 y.o. britney on snl. she's so young and cute and really funny! i miss this britney"
worry,"NikkiNoo1956 That's not good, sorry to hear that, where did he park it?"
neutral,the_prototype09 no where I'm working for a bit up here
sadness,NANCY___ just got your TWEETS. that sucks my love
worry,is house bound with acute mumps  bad times.... whole day ov supernatural me thinks  x
happiness,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys
happiness,"realchrissystar we'll be back sunday to play  the horse, I was out last night at mex you were not  miss you"
surprise,LivLaughLove7 u didn't hit me up
sadness,fuck elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with ?
sadness,I guess its bedtime. Goodnight twitter.  my bed is so big and empty without him.
surprise,helga_hansen Darn - I just realised &quot
neutral,So my life has come down to nothing more then making choices ill only regret later
relief,streetkingpin Well my battery just needed a jump...and now I gotta pay extra to get my nail fixed
worry,"OK crowdsourcing failed,"
worry,why have 3 people stopped following me  is it something I said??
worry,My acid refulx is acting upï¿½probably the worst it's been in months. I don't think I'll be getting any sleep tonight.
surprise,still can't believe all of the gig posters in the Little Civic have been taken down!?
hate,maddieprior mother is hogging the TV
worry,i cant sleep ughh n i have registration tomorrow at 11 this suxs   *Shooting Star*
love,I thought when u go #2 your tummy is supposed to feel better not worse
neutral,ncremins I could do with another one now myself. was back to work on Monday after being off for 7 weeks  not good.
neutral,"Dr_DinaSadik forensic mein kya hai! bas rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria!"
surprise,stvwrnr i can't believe it...
sadness,My car broke down.   Time to start looking at getting another.  If its not one thing its another.
worry,Oh no  I wanted to go to sea but today the sun is not here!  SIGH!
worry,"torilovesbradie definitely, or even just &quot;i'll call you&quot;, they never do  how was ur day? xx"
love,benmatewe being updated to have multiple 'skins' for different GT members. Nightmare. 82k of CSS to hack!  No time to redo
sadness,subray put me right off my scrambled egg breakfast  #fartingloud
worry,Guys i dont think chris loves me   he never show me attenition or affection   i think its time to end it.  What you think?
surprise,Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side.
worry,"funhiguy Hi man, yeah I so wanna go, but I'm on Maui  #liloven"
worry,"Installed office for Mac &amp; messed up all my fonts on safari, crap on a stick! help! can't even read the solutions online  #badmicrosoft"
worry,I'm thirsty in the middle of the night and get to the fridge only to find my Brand New bottle of Cran-Cherry juice gone....  FML moment!!
worry,yin9shi what interview! leave me alone
worry,i got a bruise on my foot out if nowhere!  it hurts!
worry,finally graduation no more school ... im sick today
neutral,Jemistryteam --- has demi ever replied to you? Coz I haven't got any...
neutral,"i want a text from short stack ,but i dont understand the texting thing"
sadness,My assistant had me watch The Notebook. I miss Deborah
sadness,it's official- the Twilight Saga has ended...*sigh*...my life is empty!
sadness,"SamGrierson awwww....    , ah well at least I can sober up for a week or 2 and possibly get to the gym.....u gonna make music live? xx"
sadness,pinkbunny69 awww thts no good hun-i'm having the worst day as i'm sick as
happiness,AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol
sadness,"breagrant Thought you was one of the best on Heroes, pitty they are killing all of the good characters off  how do i use this thing!? lol"
sadness,"Nooo! I'm ill  Must Have Paracetamol! Nice weather today, though."
worry,BunnyLuv87 Sorry I didn't go  Jesus wasn't feeling it. And you know I can't see it with out my best bud. Well that movie anyways Eexst
sadness,"wow, serious hard time sleeping. on a decongestant and its keeping me wide awake. I JUST WANNA SLEEP"
worry,afrocurl mark harmon just got shot on my tv
worry,that was terrible...
love,"lovely day again... hope it continues all weekend, I'm stuck at my desk today"
neutral,mgrpowers http://twitpic.com/1aida - snood
neutral,docbaty ow
worry,Bug in damn cod4 system link. My map pack isnt working
worry,"fuck, can't sleep.  feening for cigs. i'm horrible. :X"
relief,Back at work
happiness,Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!
sadness,gedhead if only stephenfry wouldn't have some fiftythousand followers... hugh laurie's just a needle in a haystack now!
worry,LoveisTrain it drained my energy
hate,Hates headaches! Maybe I'm not ready to rock
sadness,"4th time in 1 month that i'm spending time garage, for a broken airco this time.... sigh, great with this weekends weather"
neutral,alperdotr i got bored   lunch time?
hate,razzbingo britain is shit
enthusiasm,company is offering 2nd round of VSS RIF!
worry,taylorswift13 ....... i'm wondering if you're as awake as i am. ?
sadness,Is going to miss Reemer for a couple of months now the tour is over
worry,The test today was killer. I didn't even manage to finish on time.
happiness,watched the Bones finale last night in the UK &amp
happiness,Someone bring me milk for my cookies!
sadness,MAVinBKK I know but the wait will be worth it - November just seems so far away at the moment  
love,"RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
neutral,Ahmaeya so im listening to this random playlist and its leaning toward serani...
neutral,"m_bui yeah right. I just accepted my grants, and it covered at least 10,000+ of my school fees. tritonlink is down so i cant verify"
sadness,is now writing 100-word newsbites  http://plurk.com/p/wyb4h
sadness,"ankurb english screwed up my overall percentage in X, in XII again and probably in adm tests too. shit happens."
worry,"pete too early I'm afraid  op to take screw out week Tuesday. The family will going off, I'll me looking fir that Guinness ;)"
worry,"KinanLW Wah, why are you sad?"
neutral,"IzzySc Hi Isla! I hope it does, too."
surprise,Had to cancel subscriptions today to NZZ and Economist at office  #costsavings Luckily they also have online versions
surprise,xC_A_Tx lol i havent watched it yet..  congrats!
sadness,low low low low low low low low low.............................
worry,mathewsanders boo! I must've deleted it from my phone!  can't find it in my emails either!
sadness,I'm slowly reallizing how this burn I got at work 5 hours ago really sucks
worry,2 hours after teleconference. but can't go back to sleep. got some work to do. sigh sigh
neutral,cutiemoet i meant i cnt help but stop chattin wid her.....    gud dat u noe everything.... so do u think its fair????
worry,_hayles yer there must be-not sure tho-caught it off my brother but got it worse
surprise,http://twitpic.com/667g1 - Marshmellows + muffins = fail  They all bubbled and then evaporated leaving big holes! heh still taste alri ...
worry,my iMac's died  keeps cutting out for no reason. Anyone recommend a good mac place for service / parts? Think I need a new power supply
happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!"
worry,"Leaving for Paris tonight. Trying to cram all my assignments for the week done in two days.   I think I'm half done, I hope."
worry,it's almost comforting to know all LDN people not working on this beautiful day will get skin cancer.... I want out of this office now
hate,nicko236 It was an app that changed your wallpaper to one of several hundred at random intervals. It's hard to find good wallpapers.
worry,red update: temp of 40+. Suspected infection. Antibiotics given. Appt tomorrow to check temp again. fingers crossed.  #fb
sadness,"lupin_bebop that's lame, sorry"
worry,is having a hard time concentrating today.  Have to get it together!
sadness,knee surgery.... back home for about 6 weeks
neutral,July issue is stressing me out...
relief,joehhzeh in august with anberlin. they're not headlining though  and yes there is a perth show
worry,"JulieAdore I checked ULCA, they've got a program in producing, I'll be so much interested in. But...."
worry,My neck hurts a lot.
surprise,SmileDaily I wish I was getting pancakes  booooooooo
love,The Blowout ended
sadness,sassisam agh mine just left for New York last month!!
boredom,Again documentation day
surprise,"By the time we got back up to grizzly peak with cameras to capture the sea of fog we were above, it already engulfed everything"
sadness,"KINGmoney yep and its freezing, i hate winter  im literally wearing blackets"
surprise,ucler!!! I got 2 big ones in my mouth
neutral,http://twitpic.com/667hh - this is what happened after installing office for Mac  #badmicrosoft
worry,dual reject ...  http://tinyurl.com/mfm7tl
sadness,My room is too hot to sleep in.
worry,Shit... It's 2am and I'm wide awake
worry,"29 mei, missing my dad for over a year now"
neutral,Its funny how I want something even more... now that someone else has it and i cant anymore    hahaha NEXT!
worry,neg2led what's wrong?  maybe I can help?
worry,I definitely feel sorry for Jamie Stewart... Amsterdam audience can really suck (www.xiuxiu.org and read his post of May 27th  )
happiness,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations"
neutral,Clumsyflic
worry,i thought payday was today but its on saturday  so happy hour wont be happening today lol...thank goodness its friday tho !!
love,Nasnous Thanks bro but I'm awake already  How are you?
worry,Feeling sick the now
worry,NatashaTamara awwwwww....I know that feeling!!
sadness,is way too sleepy to be awake
anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
enthusiasm,Looking for photo inspiration. But everything I want to do required more space than I have
surprise,I am horrible at appraising peer work. What are these Americans thinking when they compose poems? Or maybe I am the one with the problem.
worry,agh! freaking out about going to Wales already! &gt
love,Kellyke28 You poor thing  Hang in there. -xxx- luf joe
neutral,The girl in the hair salon asked me &quot
sadness,I overslept  headache
neutral,Deucie picked up by his sitter for the weekend.
worry,Raaaaaaaaaaagh early morning  and its not even early!! Must leave for work in 6 minutes...
worry,he's ok dw but i think he's not  http://plurk.com/p/wybsv
fun,morning all....beautiful day...best go enjoy some sunshine before i have to go to work...unfortunately
sadness,drumstickboy I also used to be close with adiel and sabby. But now they changed alot. I like when we were in sec 1.
neutral,Has lost his vocie and Adele is laughing at me LOL and still wondering why I'm in college on me week off
worry,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along
worry,The stars are out. Where were you when I needed you
worry,ashleeadams no wonder you hate driving and country roads and stuff
surprise,ManaMoose I can't believe you went and got boba without me.
worry,maddysen ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???
relief,rms70 ooh how is Milan? i could do with a holiday! Bfoyf is off to Geneva today visiting fam so ive got a weekend on my own
sadness,kevincl Same here. But I am just going to browse SA until I get bored.
worry,"ryankanno ack, no can see mustheartdogs either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)"
enthusiasm,sotongs Sigh
worry,"33 minutes left before my flannel hobbit shoes get wet  RAIN, PLS GO AWAY!"
worry,Can't believe we're going through redundancies again! The government has well and truly screwed up..  Off with their heads!!
neutral,"my littelist fish, udon, is dearly departed"
anger,i never knew a dentention was so hard 2 get
neutral,"karess I do feel bad for him too. Especially na ngayon pa siya nagrerehab siya and all. Wrong timing. Still, maybe he had it coming"
sadness,ConcertJunkie &quot
empty,is leading dull life this Friday... Babysitting!
sadness,nursebettie666 he is the meanest lil boy ever!!!!!!!!!! When I was a lil girl everyone loved me
worry,my knee hurts!
worry,"planning June - lots of appointments. meeting, briefings and litte time to finish my reports"
surprise,"Rilgon ahh seen a few of those drop, but I just tossed them thinking it was a once only turn in"
surprise,"vibzfabz Hey, you change your twitter account, and you didn't even tell me..."
empty,so bored...
sadness,"#freeagentapp free trial ran out today, cannot subscribe because Abby accidentally canceled my card - still waiting for a new one"
empty,You fooled me!
hate,"trying to get used to twitter, i have a cold"
happiness,primaveron I need them  It would've made my picture so much cooler. Mine are bottle green. Eeyea-thooo!
worry,"Rain stopped a few minutes ago. I noticed that every time I cheer for the rain while it's raining, it stops. I shall not cheer next time."
worry,"i really need to go and start some more revision,biology or chemistry today me thinks"
worry,Ready for the trip. Not ready to leave my baby!!!!
love,Archie Proposes Veronica in the Latest Archie's Comic. The Longest known Love Triangle is coming to an End. Poor Betty.
sadness,Guitar lessons tomorrow. ( I have to wake up early again.
sadness,"Last day in Exeter! Had last session in gym, last breakfast.. last meeting coming up"
sadness,I'm so dizzy already and I'm only on the third page of chapter 73  *plops head*
worry,"i misss my phone,"
sadness,I'm soooo sleepy  but I'm not a home just yet
enthusiasm,waiting for PRINCES PROTECTION PROGRAM online in English version  so long
neutral,still need new pics on my phone  and music..
sadness,So Tired. It's not right to have to get up so early
neutral,So slpy 2day  zzzz
sadness,i have a headache
fun,"eljefe1401 oh, joy. We have the Elmo potty video too."
sadness,livetosingxo and i had our first fight
neutral,need to get a hand
worry,andymakesurandy don't worry iPhone users are just as privileged  wish i were heading to the pool
surprise,iszi_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x
worry,Jinxed myself! Damn system upgrade didn't stick... Starting again
hate,preparing for my spanish.. BAAAAAAAAAAH
enthusiasm,http://bit.ly/Wl9yL  i want to go here
neutral,"christianedward it's a good sized family room, so not too cramped, watched match in room  Watched tv on iplayer after kids asleep"
neutral,"1am, quietly tidying up after dinner party. Whilst closing tupprwre lid, centre island in my kitchen collapses! Wakes baby. Mayhem ensues"
sadness,"Some of the figures quoted are so wildly optimistic, they are the stuff of science fiction.  A bit disapointed in CIBER and SABIP"
worry,"So I played this game , yeahhhhh I lost  I'm inlove ughh....really cause I'm such a fool."
worry,my boss is bullying me...
worry,K now I'm really going to bed even tho I ain't tired  night! &lt
relief,"lavsmohan In my case, it's going to be exams showing me a thing or two.  I'm very much hopeful about November '09, though."
sadness,"It's clear intellectually that severing my relationship was best, yet my heart seems 2 B in complete disagreement. It hurts so so much"
neutral,"dc493 me too  she better be back soon! dude, this is my typical bedtime. but look who is talking! what are YOU doing up so late?"
sadness,ashleeadams I don't know what to say except *hugs*
sadness,10 minutes to boarding
neutral,all my files got deleted
enthusiasm,Anyone up this te of night? The tweets have slowed down  let me know ur out there and I'll follow u
worry,is sad his new SB6 CD's got nicked
sadness,amerz Love it! I wish my other half could even name web design ladies
worry,Keiyaunna I normally dnt sleep until like 6  cud never sleep at night n ur entertainment
worry,Layin in bed awake. Txtin my girl in vegas. Wishin I didn't have to work and I was w her
surprise,why am i awake?
hate,I am so damn hungry it's not even funny!
sadness,"#bigfanfriday 2day, &amp; i go &amp; friggin loose 1, life sucks!!"
fun,leather shoes and bags are so hard to resist..
sadness,ihuntmidgets I just wish kimmikennedy would send a bruh a DM 'I won't be on til' so I don't waste my erection on a bot
relief,"Working on a newsletter but I'd say I've got a writer's block atm  - take a deep breath and get on with it, girl..."
neutral,geekgrrl  I missed one
worry,My mobile has stopped recieving text messages AGAIN. Stoooopid thing
fun,StorIbook8 I see. Lol. I'll make it fun for you to follow me tomorrow...I have to go to bed now.
worry,"thecoffeewhore I'm sowwy.   It sucks, I know, I've been there. Yay for half days though!"
neutral,LimeIce awww... dangness!  i cant wait to see the picture!  lime green elements...wooot!
worry,chillin after a LOOOONNNGGG day of basketball  hella tired sleepy time zzzz
worry,I think my iPod touch may be breaking itself.
empty,"Woe, it's definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches 'til you reach your seat"
happiness,andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!
fun,I want to play parachute games.
hate,cynimarie p.s. There is such thing as having too much sushi! Bleeeeah!
neutral,"home for the nite, sleeping on the pull out bed with Maggie. wishing it was kyla_durden  I got to find a apt"
worry,mapsadaisical just tried DMing you but it tried to download some strange file so stopped!  How come no gmail MaccyM?  Missing you  SADS!!
neutral,"epic writing fail, ew. going to try and sleep"
worry,"Revision Time, Biology exam monday"
neutral,jonpaulkaiser love the stuff he sell... you should help this guy with his logo and shop  it's kinda Wordart
worry,cutiemoet u think its fair...... k den i guess m wrng.... still i feel its not at all fair....
surprise,Endlessly fascinated by the dual engine monitor in this cab. Then it reminds me of #sustainability fail . Sorry next gen.
happiness,Such a nice day...and we're all working
hate,What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so
sadness,"[Wrong!] #liesboystell Your the only one, I love (they really have several women)  http://tinyurl.com/nl6pct"
relief,"ShelbyRayne no im doing it in the morning, lol. i know i havent slept at all"
neutral,JohnCleese    Mc  John  sim posit  3 yr passed  no  softees   stranded without warren tea out  tech spec  kaching !!
neutral,Reynolds_x all three are in the first 2 weeks of june for me
empty,"chrisontv88 I had a joke for you, but it's too long to tweet."
love,"I was glorious at 6.50 when I went outside, so why has it gone cold and cloudy now"
sadness,"Felt like crap, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick."
